Source Table	Lab ID	Station Name	Station ID	Sample Date	Sample Time	Sample Medium Code	Sample Type	Parameter Code	Method	Dilution	Remark Code	Qualifier	Result	Concentration pM/L	Final Result	Result Units	RL Type	RL	MDL	Spike Recovery	High Spike Limit	Low Spike Limit	Blank Value	Delete Code	Parameter	Lab Code	Schedule	User Code	Project Account	Project Chief	Collector	Project	State	County	Geologic Unit	Analysis Status	Analysis Source	Hydrologic Event	Hydrologic Condition	Login Date	Analysis Date	Release Date	NWQL Proposal	Analyzing Laboratory	Element	Isotope	Molecular weight	NASC µg/g (Taylor_McClennan 1984)	NASC normalized concentration
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	1110	PLM43	1			0.0048	34.2563517	<0.10	ug/L	mrl	0.1	0.1						"cerium,fil,icp-ms"	2919	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Ce	140	140.12	73	6.57534E-08
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	1180	PLM43	1			0.0019	13.6784133	<0.10	ug/L	mrl	0.1	0.1						"lanthanum,fil,icp-ms"	2977	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	La	139	138.905	32	5.9375E-08
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	1194	PLM43	1			0.0025	14.44752658	<0.10	ug/L	mrl	0.1	0.1						"ytterbium,fil,icp-ms"	3087	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Yb	174	173.04	3.1	8.06452E-07
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50573	PLM43	1			0.0031	18.53401889	<0.10	ug/L	mrl	0.1	0.1						"erbium,fil,icp-ms"	2933	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Er	167	167.26	3.4	9.11765E-07
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50574	PLM43	1			0.0124	81.60042116	<0.10	ug/L	mrl	0.1	0.1						"europium,fil,icp-ms"	2937	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Eu	151	151.96	1.24	0.00001
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50575	PLM43	1			0.0032	20.34976153	<0.10	ug/L	mrl	0.1	0.1						"gadolinium,fil,icp-ms"	2941	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Gd	158	157.25	5.2	6.15385E-07
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50577	PLM43	1			0.0007	4.244214529	<0.10	ug/L	mrl	0.1	0.1						"holmium,fil,icp-ms"	2961	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Ho	165	164.9304	1.04	6.73077E-07
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50579	PLM43	1			0.005	34.66444814	<0.10	ug/L	mrl	0.1	0.1						"neodymium,fil,icp-ms"	2991	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Nd	146	144.24	33	1.51515E-07
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50582	PLM43	1			0.0013	9.225746931	<0.10	ug/L	mrl	0.1	0.1						"praseodymium,fil,icp-ms"	3017	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Pr	141	140.91	7.9	1.64557E-07
index-12cfm	20103560096	"Honey Creek at Wauwatosa, WI"	4087119	12/19/2010	124400	WS	9	50586	PLM43	1			0.0009	5.663034354	<0.10	ug/L	mrl	0.1	0.1						"terbium,fil,icp-ms"	3063	2333	WI	GC11NK009KPL200	SRCORSI	akbaldwi		WI			U	3	9	A	20101222	20110118	20110119	CL09016	"""""USGS-National Water Quality Lab, Denver, CO """""	Tb	159	158.9254	0.85	1.05882E-06
